-0.0940804,-4.78607,-16.0312,0.0969696,0.0294802,291.984

0,5,15,0,0,400
0.0456922,-5.44713,-15.4226,0.0260467,0.0545617,394.859

0,5,15,0,0,500
number of leds were detected: 4

0,5,15,0,0,550
0.82667,-6.05929,-13.6939,0.148169,0.135884,535.622

0,5,20,0,0,100
-0.0862714,-5.84146,-23.4756,0.148655,0.00121204,96.3368

0,5,20,0,0,200
number of leds were detected: 4

0,5,20,0,0,300
-0.0437586,-5.53346,-20.7045,0.198444,0.0265669,291.249

0,5,20,0,0,400
-0.407843,-7.19131,-17.9252,0.18441,-0.00723686,419.321

0,5,20,0,0,500
-0.93392,-2.73147,-20.53,0.0739352,0.0884993,503.054

0,5,20,0,0,550
0.239027,-4.8015,-24.4901,0.0978704,0.0986944,508.961

0,5,25,0,0,100
-0.0498657,-5.2921,-30.0029,0.190615,0.00279558,92.8467

0,5,25,0,0,200
-0.199709,-4.75532,-26.613,0.0964588,-0.0105605,194.065

0,5,25,0,0,300
number of leds were detected: 6

0,5,25,0,0,400
-0.979875,-6.72669,-25.8312,0.167331,0.026792,404.916

0,5,25,0,0,500
-0.377902,-5.54063,-26.5661,0.0957186,0.114996,486.256

0,5,25,0,0,550
0.236005,-5.13144,-27.8517,0.218583,0.10285,529.501

0,5,30,0,0,100
-0.0391966,-5.23005,-34.9354,0.252443,-0.00742675,91.934

0,5,30,0,0,200
number of leds were detected: 4

0,5,30,0,0,300
number of leds were detected: 6

0,5,30,0,0,400
-0.543408,-4.58886,-32.1315,0.12253,0.0482156,385.784

0,5,30,0,0,500
0.223086,-4.58597,-36.1295,0.122891,0.0279446,445.42

0,5,30,0,0,550
number of leds were detected: 4

0,10,0,0,0,100
-0.659791,-11.3053,-0.164424,0.0259278,-0.0632042,100.434

0,10,0,0,0,200
-0.337793,-9.86383,-0.03466,0.00564612,-0.0337178,199.039

0,10,0,0,0,300
-0.175972,-11.044,-0.375743,0.0624728,0.0904016,300.657

0,10,0,0,0,400
0.429219,-8.80373,-0.56654,0.0952893,0.0690564,391.609

0,10,0,0,0,500
0.562027,-9.82473,1.29405,-0.0321437,0.182018,512.213

0,10,0,0,0,550
0.0642695,-10.3584,-0.861202,0.145492,0.208916,545.451

0,10,5,0,0,100
-0.678448,-11.4941,-5.64273,0.0190781,-0.0655175,99.691

0,10,5,0,0,200
-0.0667512,-11.0574,-5.27249,0.0803514,0.0122277,199.698

0,10,5,0,0,300
-0.178678,-10.9818,-5.55507,0.0741757,0.089632,299.633

0,10,5,0,0,400
0.274809,-9.74519,-5.71516,0.112345,0.041909,390.351

0,10,5,0,0,500
number of leds were detected: 6

0,10,5,0,0,550
0.0642695,-8.03163,-5.24451,0.0943906,0.207025,540.514

0,10,10,0,0,100
-0.6476,-11.3455,-11.3328,0.11821,-0.0594006,99.2596

0,10,10,0,0,200
number of leds were detected: 4

0,10,10,0,0,300
-0.316143,-9.71753,-12.5359,0.0675003,0.0533211,294.93

0,10,10,0,0,400
-0.313094,-9.45836,-8.20012,0.109406,-0.0579226,388.283

0,10,10,0,0,500
-0.381343,-10.4681,-9.72194,0.13825,0.125599,530.237

0,10,10,0,0,550
0.25741,-10.6678,-11.0741,0.10385,0.127249,535.549

0,10,15,0,0,100
-0.581658,-11.3663,-17.5996,0.135016,-0.0606391,97.1056

0,10,15,0,0,200
-0.72538,-11.2072,-17.1887,0.0356377,-0.0225583,198.043

0,10,15,0,0,300
-0.21719,-11.2943,-13.5973,0.0995279,0.00932996,295.363

0,10,15,0,0,400
-0.582289,-10.2766,-15.1844,-0.00314307,-0.0532594,394.288

0,10,15,0,0,500
number of leds were detected: 6

0,10,15,0,0,550
0.602342,-9.80258,-12.5526,0.147179,0.0963406,538.032

0,10,20,0,0,100
number of leds were detected: 4

0,10,20,0,0,200
-0.560352,-10.4836,-22.7997,0.0975094,-0.0212898,193.971

0,10,20,0,0,300
-0.174316,-11.5256,-20.5209,0.125707,0.00494913,289.405

0,10,20,0,0,400
number of leds were detected: 4

0,10,20,0,0,500
-0.0745768,-9.3498,-21.3367,0.18578,0.234551,506.338

0,10,20,0,0,550
0.00820482,-9.44676,-23.3156,0.0971793,0.0612618,513.595

0,10,25,0,0,100
-0.330365,-10.6798,-28.7343,0.182875,-0.0419345,93.9416

0,10,25,0,0,200
-0.293595,-9.90517,-27.3219,0.128791,-0.0252711,193.63

0,10,25,0,0,300
-0.379235,-11.5996,-25.2688,0.0175608,0.0444747,303.162

0,10,25,0,0,400
number of leds were detected: 4

0,10,25,0,0,500
number of leds were detected: 6

0,10,25,0,0,550
-0.356006,-11.9821,-23.7026,0.219401,0.00228106,548.328

0,10,30,0,0,100
