ROLL,PITCH,YAW,Y,Z,X
-5.03142,1.53975,-16.9315,0.269047,0.0338636,28.2951

5,0,10,0,0,50
number of leds were detected: 4

5,0,10,0,0,70
-4.72679,1.28652,-12.4933,0.130464,0.0371256,68.5263

5,0,10,0,0,90
number of leds were detected: 6

5,0,15,0,0,30
number of leds were detected: 6

5,0,15,0,0,50
-5.06757,1.66032,-20.2462,0.225962,0.0414207,47.2384

5,0,15,0,0,70
number of leds were detected: 6

5,0,15,0,0,90
number of leds were detected: 6

5,5,0,0,0,30
-5.98384,-8.6287,-0.654274,0.0121008,-0.139391,30.0056

5,5,0,0,0,50
-5.75595,-6.68058,-0.571655,0.00709919,-0.0778733,50.0328

5,5,0,0,0,70
45.5468,nan,nan,nan,-nan,nan

5,5,0,0,0,90
-5.66513,-5.65697,0.222845,-0.0349539,-0.0182122,89.5127

5,5,5,0,0,30
-5.89827,-7.86253,-9.12792,0.141611,-0.119479,29.3869

5,5,5,0,0,50
number of leds were detected: 4

5,5,5,0,0,70
-5.3083,-5.70957,-6.50581,0.067724,-0.0299718,69.5654

5,5,5,0,0,90
-5.2129,-5.25533,-5.99975,0.0512032,0.00687786,89.828

5,5,10,0,0,30
-5.87665,-6.95663,-17.4045,0.275199,-0.0916289,28.327

5,5,10,0,0,50
number of leds were detected: 4

5,5,10,0,0,70
-5.19099,-4.82266,-12.6134,0.133298,-0.0327879,68.6085

5,5,10,0,0,90
-5.29758,-4.47298,-12.0679,0.0914657,0.0173753,88.7387

5,5,15,0,0,30
-5.91672,-6.15187,-25.7771,0.375513,-0.0886639,26.9033

5,5,15,0,0,50
-5.65798,-4.73134,-20.5821,0.234745,-0.0457898,47.3203

5,5,15,0,0,70
number of leds were detected: 6

5,5,15,0,0,90
-5.22962,-3.65644,-17.8875,0.146929,0.0531857,87.5647

5,10,0,0,0,30
number of leds were detected: 6

5,10,0,0,0,50
-6.35719,-13.5452,-1.07724,0.0190767,-0.15785,50.0491

5,10,0,0,0,70
30.1412,-37.2301,15.9424,-6.36379,-8.00492,196.438

5,10,0,0,0,90
-5.98087,-11.4482,-0.927627,-0.00427301,-0.054656,89.7612

5,10,5,0,0,30
-6.8786,-16.3881,-9.70965,0.160755,-0.259151,29.4385

5,10,5,0,0,50
-6.16747,-12.8261,-7.82596,0.0951087,-0.140297,49.3702

5,10,5,0,0,70
-5.7832,-11.6853,-7.34968,0.079531,-0.0948309,69.5788

5,10,5,0,0,90
-5.58462,-10.8987,-7.07639,0.0294657,-0.0379304,89.5089

5,10,10,0,0,30
-6.88796,-15.4133,-17.7666,0.274053,-0.230837,28.3783

5,10,10,0,0,50
number of leds were detected: 4

5,10,10,0,0,70
-5.68182,-10.9594,-12.834,0.132722,-0.0972532,68.6632

5,10,10,0,0,90
-5.73458,-10.4357,-12.2006,0.10223,-0.0404277,88.9365

5,10,15,0,0,30
number of leds were detected: 4

5,10,15,0,0,50
-6.13403,-11.489,-20.6842,0.218373,-0.109198,47.3882

5,10,15,0,0,70
-5.64333,-10.8067,-19.1421,0.185234,-0.0773983,67.3141

5,10,15,0,0,90
-5.8177,-9.75033,-18.1918,0.152231,-0.0256582,87.7016

5,15,0,0,0,30
-7.97808,-25.571,-2.14318,0.0374198,-0.413103,29.9925

5,15,0,0,0,50
number of leds were detected: 4

5,15,0,0,0,70
number of leds were detected: 4

5,15,0,0,0,90
number of leds were detected: 4

5,15,5,0,0,30
number of leds were detected: 7

5,15,5,0,0,50
-6.79805,-19.789,-8.1201,0.1012,-0.220244,49.4216

5,15,5,0,0,70
-6.33015,-17.9837,-7.70135,0.0777913,-0.162421,69.5754

5,15,5,0,0,90
-6.10196,-16.7787,-7.14742,0.0305938,-0.101874,89.5618

5,15,10,0,0,30
-7.8694,-23.9307,-17.8555,0.283784,-0.356294,28.5321

5,15,10,0,0,50
number of leds were detected: 4

5,15,10,0,0,70
number of leds were detected: 6

5,15,10,0,0,90
number of leds were detected: 6

5,15,15,0,0,30
-7.80347,-22.7117,-26.1377,0.393619,-0.327637,27.2731

5,15,15,0,0,50
-6.7815,-18.2834,-21.1303,0.228766,-0.187089,47.5302

5,15,15,0,0,70
-6.14819,-17.0167,-19.813,0.197689,-0.140258,67.3908

5,15,15,0,0,90
number of leds were detected: 6

15,0,0,0,0,30
number of leds were detected: 4

15,0,0,0,0,50
number of leds were detected: 6

15,0,0,0,0,70
number of leds were detected: 6

15,0,0,0,0,90
-15.2746,-0.0421791,-0.11404,0.0179391,0.0233096,90.194

15,0,5,0,0,30
-67.413,-9.44139,-6.32705,0.192472,-1.00559,12.3037

15,0,5,0,0,50
-15.1108,1.6052,-6.99426,0.0941535,0.0162499,49.373

15,0,5,0,0,70
-15.0003,1.4724,-6.08211,0.0693864,0.0205902,69.0937

15,0,5,0,0,90
-15.143,1.56501,-5.49775,0.0265808,0.0361909,89.8402

15,0,10,0,0,30
-70.6143,-8.59276,-8.11512,0.102257,-0.861918,10.3307

15,0,10,0,0,50
40.5726,nan,nan,nan,-nan,nan

15,0,10,0,0,70
number of leds were detected: 6

15,0,10,0,0,90
-15.0803,2.87371,-11.7536,0.0760745,0.0622792,88.6545

15,0,15,0,0,30
number of leds were detected: 4

15,0,15,0,0,50
number of leds were detected: 4

15,0,15,0,0,70
-14.7481,4.85043,-17.6202,0.170616,0.0598478,67.2786

15,0,15,0,0,90
-14.9175,4.75084,-17.2186,0.163566,0.0822582,87.3855

15,5,0,0,0,30
-16.0912,-8.16254,-2.0045,0.0179326,-0.125905,30.055

15,5,0,0,0,50
number of leds were detected: 6

15,5,0,0,0,70
number of leds were detected: 6

15,5,0,0,0,90
-15.5829,-5.61341,-1.66788,0.0233718,-0.0122079,90.1445

15,5,5,0,0,30
number of leds were detected: 4

15,5,5,0,0,50
-15.604,-4.60658,-8.1612,0.1192,-0.0511386,49.4546

15,5,5,0,0,70
number of leds were detected: 6

15,5,5,0,0,90
-15.4091,-3.75798,-7.63025,0.0626924,0.00492193,89.964

15,5,10,0,0,30
-16.3908,nan,-15.9666,nan,-nan,nan

15,5,10,0,0,50
number of leds were detected: 4

15,5,10,0,0,70
-15.2722,-2.63625,-13.4578,0.159889,-0.0197612,68.3274

15,5,10,0,0,90
number of leds were detected: 4

15,5,15,0,0,30
number of leds were detected: 6

15,5,15,0,0,50
number of leds were detected: 4

15,5,15,0,0,70
-15.0712,-1.23022,-19.1329,0.18552,0.0142881,67.3095

15,5,15,0,0,90
-15.1216,-1.01773,-18.721,0.172023,0.0482151,87.3813

15,10,0,0,0,30
-17.3023,-16.3852,-4.15251,0.0527023,-0.271228,30.0546

15,10,0,0,0,50
number of leds were detected: 7

15,10,0,0,0,70
number of leds were detected: 6

15,10,0,0,0,90
-16.1302,-11.136,-3.78874,0.026328,-0.0651237,90.0293

15,10,5,0,0,30
-17.3358,-14.2958,-12.1599,0.208306,-0.230956,29.2808

15,10,5,0,0,50
number of leds were detected: 4

15,10,5,0,0,70
-15.9906,-10.2397,-9.1802,0.118042,-0.0943756,69.2287

15,10,5,0,0,90
number of leds were detected: 6

15,10,10,0,0,30
number of leds were detected: 6

15,10,10,0,0,50
44.6264,-13.0569,-2.20023,-3.79987,-0.524307,65.7626

15,10,10,0,0,70
number of leds were detected: 4

15,10,10,0,0,90
-15.7687,-7.75797,-13.6115,0.0739681,-0.0189577,88.7505

15,10,15,0,0,30
-17.2357,-9.35078,-27.5162,0.401077,-0.133772,26.9465

15,10,15,0,0,50
number of leds were detected: 4

15,10,15,0,0,70
-15.6143,-7.12437,-20.8247,0.201594,-0.0516919,67.2765

15,10,15,0,0,90
-15.4699,-6.27768,-19.817,0.169684,0.00527766,87.4284

15,15,0,0,0,30
-18.4242,-24.3367,-6.23896,0.0951806,-0.387367,30.1449

15,15,0,0,0,50
number of leds were detected: 6

15,15,0,0,0,70
number of leds were detected: 6

15,15,0,0,0,90
number of leds were detected: 4

15,15,5,0,0,30
-18.5593,-22.1635,-13.8809,0.240356,-0.358326,29.3781

15,15,5,0,0,50
-17.2429,-18.1079,-11.4577,0.141989,-0.223977,49.4512

15,15,5,0,0,70
-16.5772,-16.1681,-10.646,0.102735,-0.140739,69.1003

15,15,5,0,0,90
-16.5021,-15.7957,-9.57476,0.0199154,-0.0888681,89.6002

15,15,10,0,0,30
number of leds were detected: 4

15,15,10,0,0,50
number of leds were detected: 4

15,15,10,0,0,70
-16.4578,-14.2941,-15.88,0.147031,-0.130404,68.2606

15,15,10,0,0,90
-16.2144,-13.8406,-15.3961,0.0736433,-0.0608661,88.7

15,15,15,0,0,30
number of leds were detected: 3

15,15,15,0,0,50
number of leds were detected: 3

15,15,15,0,0,70
-16.1941,-12.8605,-22.0578,0.213152,-0.105069,67.4489

15,15,15,0,0,90
-16.0794,-11.7854,-20.6068,0.191656,-0.0369098,87.8886

25,0,0,0,0,30
-24.9193,0.000542647,-0.0551346,0.00720895,0.0083668,30.0148

25,0,0,0,0,50
-25.1128,0.0223379,-0.0965479,0.0140419,0.0186472,50.129

25,0,0,0,0,70
-24.8979,-0.0868083,-0.0460683,0.0070183,0.0093769,70.0662

25,0,0,0,0,90
-25.0475,-0.182533,0.0439794,-0.00690604,0.0015426,90.6219

25,0,5,0,0,30
number of leds were detected: 6

25,0,5,0,0,50
-25.0541,2.90072,-6.21932,0.088003,0.051705,49.2137

25,0,5,0,0,70
number of leds were detected: 4

25,0,5,0,0,90
